X,CH1,CH2,
Second,Volt,Volt,
5.16e-01,1.28e+00,1.28e+00,
5.20e-01,1.36e+00,1.26e+00,
5.24e-01,1.44e+00,1.28e+00,
5.28e-01,1.36e+00,1.26e+00,
5.32e-01,1.04e+00,1.30e+00,
5.36e-01,1.20e+00,1.30e+00,
5.40e-01,1.36e+00,1.26e+00,
5.44e-01,1.28e+00,1.24e+00,
5.48e-01,1.12e+00,1.26e+00,
5.52e-01,1.20e+00,1.26e+00,
5.56e-01,1.52e+00,1.24e+00,
5.60e-01,1.44e+00,1.24e+00,
5.64e-01,1.12e+00,1.28e+00,
5.68e-01,1.20e+00,1.28e+00,
5.72e-01,1.52e+00,1.30e+00,
5.76e-01,1.52e+00,1.26e+00,
5.80e-01,1.12e+00,1.30e+00,
5.84e-01,1.20e+00,1.30e+00,
5.88e-01,1.52e+00,1.28e+00,
5.92e-01,1.44e+00,1.28e+00,
5.96e-01,1.04e+00,1.26e+00,
6.00e-01,1.04e+00,1.28e+00,
6.04e-01,1.52e+00,1.24e+00,
6.08e-01,1.52e+00,1.24e+00,
6.12e-01,1.04e+00,1.28e+00,
6.16e-01,1.04e+00,1.26e+00,
6.20e-01,1.36e+00,1.28e+00,
6.24e-01,1.36e+00,1.26e+00,
6.28e-01,1.04e+00,1.24e+00,
6.32e-01,1.04e+00,1.24e+00,
6.36e-01,1.44e+00,1.26e+00,
6.40e-01,1.52e+00,1.24e+00,
6.44e-01,1.04e+00,1.22e+00,
6.48e-01,1.04e+00,1.24e+00,
6.52e-01,1.36e+00,1.28e+00,
6.56e-01,1.44e+00,1.26e+00,
6.60e-01,1.12e+00,1.22e+00,
6.64e-01,1.04e+00,1.22e+00,
6.68e-01,1.36e+00,1.28e+00,
6.72e-01,1.52e+00,1.28e+00,
6.76e-01,1.20e+00,1.24e+00,
6.80e-01,1.04e+00,1.26e+00,
6.84e-01,1.28e+00,1.28e+00,
6.88e-01,1.36e+00,1.28e+00,
6.92e-01,1.20e+00,1.26e+00,
6.96e-01,1.20e+00,1.26e+00,
7.00e-01,1.04e+00,1.28e+00,
7.04e-01,1.28e+00,1.26e+00,
7.08e-01,1.52e+00,1.22e+00,
7.12e-01,1.20e+00,1.22e+00,
7.16e-01,1.44e+00,1.30e+00,
7.20e-01,1.52e+00,1.28e+00,
7.24e-01,1.76e+00,1.34e+00,
7.28e-01,1.60e+00,1.34e+00,
7.32e-01,1.20e+00,1.46e+00,
7.36e-01,1.28e+00,1.46e+00,
7.40e-01,1.44e+00,1.48e+00,
7.44e-01,1.28e+00,1.46e+00,
7.48e-01,1.04e+00,1.36e+00,
7.52e-01,1.20e+00,1.38e+00,
7.56e-01,1.52e+00,1.26e+00,
7.60e-01,1.44e+00,1.26e+00,
7.64e-01,1.04e+00,1.28e+00,
7.68e-01,1.12e+00,1.28e+00,
7.72e-01,1.52e+00,1.30e+00,
7.76e-01,1.44e+00,1.26e+00,
7.80e-01,1.04e+00,1.28e+00,
7.84e-01,1.04e+00,1.28e+00,
7.88e-01,1.44e+00,1.30e+00,
7.92e-01,1.52e+00,1.26e+00,
7.96e-01,1.04e+00,1.28e+00,
8.00e-01,1.12e+00,1.24e+00,
8.04e-01,1.44e+00,1.28e+00,
8.08e-01,1.52e+00,1.28e+00,
8.12e-01,1.12e+00,1.24e+00,
8.16e-01,1.04e+00,1.28e+00,
8.20e-01,1.36e+00,1.32e+00,
8.24e-01,1.44e+00,1.30e+00,
8.28e-01,1.12e+00,1.28e+00,
8.32e-01,1.12e+00,1.30e+00,
8.36e-01,1.52e+00,1.26e+00,
8.40e-01,1.52e+00,1.28e+00,
8.44e-01,1.28e+00,1.26e+00,
8.48e-01,1.04e+00,1.28e+00,
8.52e-01,1.36e+00,1.34e+00,
8.56e-01,1.52e+00,1.34e+00,
8.60e-01,1.20e+00,1.30e+00,
8.64e-01,1.12e+00,1.32e+00,
8.68e-01,1.36e+00,1.28e+00,
8.72e-01,1.52e+00,1.30e+00,
8.76e-01,1.28e+00,1.28e+00,
8.80e-01,1.12e+00,1.28e+00,
8.84e-01,1.28e+00,1.34e+00,
8.88e-01,1.52e+00,1.34e+00,
8.92e-01,1.28e+00,1.30e+00,
8.96e-01,1.28e+00,1.30e+00,
9.00e-01,1.12e+00,1.34e+00,
9.04e-01,1.36e+00,1.34e+00,
9.08e-01,1.52e+00,1.28e+00,
9.12e-01,1.44e+00,1.28e+00,
9.16e-01,1.20e+00,1.34e+00,
