X,CH1,CH2,
Second,Volt,Volt,
-9.56e-01,1.36e-01,2.24e-01,
-9.52e-01,1.60e-01,2.24e-01,
-9.48e-01,-1.36e-01,2.64e-01,
-9.44e-01,4.00e-01,2.56e-01,
-9.40e-01,1.36e-01,2.24e-01,
-9.36e-01,1.76e-01,2.16e-01,
-9.32e-01,-1.60e-01,2.56e-01,
-9.28e-01,7.99e-02,2.56e-01,
-9.24e-01,4.00e-01,2.16e-01,
-9.20e-01,2.40e-01,2.08e-01,
-9.16e-01,-1.36e-01,2.48e-01,
-9.12e-01,5.60e-02,2.48e-01,
-9.08e-01,4.16e-01,2.08e-01,
-9.04e-01,2.80e-01,2.08e-01,
-9.00e-01,-1.36e-01,2.56e-01,
-8.96e-01,-5.60e-02,2.48e-01,
-8.92e-01,4.40e-01,2.24e-01,
-8.88e-01,3.60e-01,2.00e-01,
-8.84e-01,-9.60e-02,2.40e-01,
-8.80e-01,0.00e+00,2.56e-01,
-8.76e-01,4.80e-01,2.24e-01,
-8.72e-01,4.80e-01,2.16e-01,
-8.68e-01,0.00e+00,2.80e-01,
-8.64e-01,4.00e-02,2.64e-01,
-8.60e-01,4.56e-01,3.20e-01,
-8.56e-01,4.40e-01,2.96e-01,
-8.52e-01,-2.16e-01,3.28e-01,
-8.48e-01,-1.76e-01,3.28e-01,
-8.44e-01,2.16e-01,2.56e-01,
-8.40e-01,2.16e-01,2.56e-01,
-8.36e-01,-2.56e-01,1.68e-01,
-8.32e-01,-2.96e-01,1.84e-01,
-8.28e-01,3.20e-01,1.20e-01,
-8.24e-01,3.60e-01,1.28e-01,
-8.20e-01,-9.60e-02,9.60e-02,
-8.16e-01,-1.60e-01,1.20e-01,
-8.12e-01,4.00e-01,1.68e-01,
-8.08e-01,4.00e-01,1.60e-01,
-8.04e-01,-5.60e-02,1.92e-01,
-8.00e-01,-1.36e-01,1.92e-01,
-7.96e-01,3.20e-01,2.40e-01,
-7.92e-01,4.16e-01,2.32e-01,
-7.88e-01,4.00e-02,2.08e-01,
-7.84e-01,-1.36e-01,2.16e-01,
-7.80e-01,2.80e-01,2.56e-01,
-7.76e-01,4.40e-01,2.56e-01,
-7.72e-01,1.20e-01,2.24e-01,
-7.68e-01,-1.36e-01,2.24e-01,
-7.64e-01,2.00e-01,2.64e-01,
-7.60e-01,4.56e-01,2.56e-01,
-7.56e-01,1.60e-01,2.24e-01,
-7.52e-01,-1.36e-01,2.24e-01,
-7.48e-01,2.00e-01,2.72e-01,
-7.44e-01,1.60e-01,2.72e-01,
-7.40e-01,4.00e-01,2.24e-01,
-7.36e-01,2.40e-01,2.32e-01,
-7.32e-01,-1.20e-01,2.72e-01,
-7.28e-01,9.60e-02,2.72e-01,
-7.24e-01,4.40e-01,2.40e-01,
-7.20e-01,2.56e-01,2.32e-01,
-7.16e-01,-1.36e-01,2.72e-01,
-7.12e-01,4.00e-02,2.72e-01,
-7.08e-01,4.40e-01,2.40e-01,
-7.04e-01,3.20e-01,2.40e-01,
-7.00e-01,-1.20e-01,2.56e-01,
-6.96e-01,1.60e-02,2.80e-01,
-6.92e-01,4.80e-01,2.48e-01,
-6.88e-01,3.76e-01,2.32e-01,
-6.84e-01,-9.60e-02,2.72e-01,
-6.80e-01,-9.60e-02,2.80e-01,
-6.76e-01,4.40e-01,2.56e-01,
-6.72e-01,4.40e-01,2.56e-01,
-6.68e-01,-9.60e-02,2.80e-01,
-6.64e-01,-9.60e-02,2.88e-01,
-6.60e-01,4.80e-01,2.64e-01,
