X,CH1,CH2,
Second,Volt,Volt,
5.04e-01,-7.44e-01,-6.72e-01,
5.08e-01,-5.76e-01,-6.56e-01,
5.12e-01,-5.68e-01,-6.72e-01,
5.16e-01,-7.92e-01,-6.64e-01,
5.20e-01,-8.00e-01,-6.72e-01,
5.24e-01,-5.92e-01,-6.56e-01,
5.28e-01,-5.92e-01,-6.72e-01,
5.32e-01,-7.92e-01,-6.56e-01,
5.36e-01,-7.68e-01,-6.72e-01,
5.40e-01,-5.92e-01,-6.48e-01,
5.44e-01,-5.92e-01,-6.72e-01,
5.48e-01,-7.68e-01,-6.56e-01,
5.52e-01,-7.68e-01,-6.56e-01,
5.56e-01,-6.48e-01,-6.72e-01,
5.60e-01,-5.76e-01,-6.56e-01,
5.64e-01,-7.28e-01,-6.72e-01,
5.68e-01,-7.84e-01,-6.72e-01,
5.72e-01,-6.32e-01,-6.48e-01,
5.76e-01,-5.92e-01,-6.56e-01,
5.80e-01,-6.96e-01,-6.72e-01,
5.84e-01,-7.84e-01,-6.72e-01,
5.88e-01,-6.72e-01,-6.56e-01,
5.92e-01,-6.80e-01,-6.56e-01,
5.96e-01,-5.76e-01,-6.72e-01,
6.00e-01,-6.96e-01,-6.72e-01,
6.04e-01,-7.84e-01,-6.56e-01,
6.08e-01,-7.04e-01,-6.56e-01,
6.12e-01,-5.84e-01,-6.72e-01,
6.16e-01,-6.80e-01,-6.72e-01,
6.20e-01,-7.68e-01,-6.56e-01,
6.24e-01,-7.28e-01,-6.56e-01,
6.28e-01,-5.76e-01,-6.80e-01,
6.32e-01,-6.48e-01,-6.72e-01,
6.36e-01,-7.60e-01,-6.56e-01,
6.40e-01,-7.28e-01,-6.72e-01,
6.44e-01,-5.76e-01,-6.56e-01,
6.48e-01,-6.08e-01,-6.72e-01,
6.52e-01,-7.44e-01,-6.56e-01,
6.56e-01,-7.52e-01,-6.72e-01,
6.60e-01,-5.28e-01,-6.48e-01,
6.64e-01,-5.76e-01,-6.72e-01,
6.68e-01,-7.28e-01,-6.40e-01,
6.72e-01,-6.80e-01,-6.56e-01,
6.76e-01,-5.44e-01,-6.16e-01,
6.80e-01,-5.60e-01,-6.48e-01,
6.84e-01,-7.44e-01,-6.08e-01,
6.88e-01,-7.36e-01,-6.32e-01,
6.92e-01,-5.60e-01,-6.08e-01,
6.96e-01,-5.44e-01,-6.16e-01,
7.00e-01,-7.28e-01,-6.48e-01,
7.04e-01,-6.96e-01,-6.40e-01,
7.08e-01,-5.68e-01,-6.16e-01,
7.12e-01,-5.52e-01,-6.16e-01,
7.16e-01,-7.44e-01,-6.40e-01,
7.20e-01,-7.68e-01,-6.08e-01,
7.24e-01,-5.92e-01,-6.40e-01,
7.28e-01,-5.84e-01,-6.16e-01,
7.32e-01,-7.44e-01,-6.56e-01,
7.36e-01,-7.84e-01,-6.40e-01,
7.40e-01,-6.16e-01,-6.64e-01,
7.44e-01,-5.84e-01,-6.48e-01,
7.48e-01,-7.28e-01,-6.72e-01,
7.52e-01,-7.84e-01,-6.72e-01,
7.56e-01,-6.32e-01,-6.56e-01,
7.60e-01,-5.92e-01,-6.72e-01,
7.64e-01,-7.04e-01,-6.56e-01,
7.68e-01,-8.00e-01,-6.72e-01,
7.72e-01,-7.12e-01,-6.56e-01,
7.76e-01,-6.32e-01,-6.56e-01,
7.80e-01,-7.92e-01,-6.88e-01,
7.84e-01,-8.56e-01,-6.72e-01,
7.88e-01,-6.64e-01,-7.04e-01,
7.92e-01,-6.48e-01,-6.96e-01,
7.96e-01,-4.08e-01,-7.20e-01,
8.00e-01,-4.24e-01,-7.04e-01,
8.04e-01,-2.24e-01,-6.16e-01,
8.08e-01,-2.40e-02,-6.24e-01,
8.12e-01,-3.44e-01,-4.40e-01,
8.16e-01,-3.44e-01,-4.40e-01,
8.20e-01,-8.00e-01,-3.12e-01,
8.24e-01,-7.84e-01,-3.04e-01,
8.28e-01,-8.88e-01,-4.08e-01,
8.32e-01,-8.80e-01,-4.16e-01,
8.36e-01,-1.04e+00,-6.24e-01,
8.40e-01,-1.02e+00,-6.32e-01,
8.44e-01,-7.68e-01,-8.00e-01,
8.48e-01,-8.80e-01,-8.08e-01,
8.52e-01,-1.00e+00,-8.88e-01,
8.56e-01,-9.36e-01,-8.72e-01,
8.60e-01,-6.64e-01,-8.96e-01,
8.64e-01,-6.88e-01,-8.88e-01,
8.68e-01,-8.16e-01,-8.48e-01,
8.72e-01,-7.92e-01,-8.48e-01,
